train_loss,train_acc,0.8763000119
0.749789882,0.8484800079,
0.7479875028,0.8483200094,
0.7464880201,0.8507000086,
0.749663181,0.8492600083,
0.7471720046,0.8495400089,
0.7510966367,0.8460600081,
0.74675163,0.8499800071,
0.7517089319,0.8487800097,
0.7229992512,0.8591200125,
0.7102748913,0.8649400067,
0.7133213386,0.8621600145,
0.7106954572,0.8634400082,
0.7099054641,0.8639800116,
0.7054158264,0.8662600085,
0.7055010971,0.8639600077,
0.7037381533,0.8660800159,
0.7033467305,0.8641400099,
0.7081727433,0.8630000168,
0.6998933449,0.8671800098,
0.7029746947,0.8645800069,
0.7007015258,0.8675400117,
0.7007054999,0.8667600125,
0.7019636676,0.8655800086,
0.7052749422,0.8649800104,
0.699687376,0.8673600119,
0.69965893,0.8672200099,
0.6998528585,0.8669800106,
0.6979340392,0.86728001,
0.6968930581,0.86712001,
0.6976030481,0.8675600111,
0.6976228464,0.8665200102,
0.6999115708,0.8670000082,
0.6972555605,0.8675200105,
0.6920726889,0.8695000088,
0.6932155427,0.8698600128,
0.6955573064,0.8675200099,
0.6940729043,0.8686000103,
0.6965852088,0.8677000147,
0.6913184825,0.8695600095,
0.6942146593,0.8685000113,
0.698588511,0.8664200142,
0.6985960728,0.8662400126,
0.6968879831,0.8656600124,
0.6929429176,0.8694600114,
0.6958589762,0.8674600074,
0.6934407282,0.867460013,
0.6957916206,0.8681800079,
0.6916143951,0.8684400088,
0.6928915131,0.8671400121,
0.6904362774,0.8705000103,
0.6910526797,0.8686000094,
0.6940366715,0.8691400126,
0.6922348791,0.8684000117,
0.6926652634,0.8683600077,
0.692597613,0.8685800108,
0.6911892116,0.8681400099,
0.6893727484,0.8699200109,
0.6910729298,0.8691000098,
0.6893256223,0.8693800145,
0.69112636,0.8673400107,
0.6864225498,0.8720400104,
0.6916508636,0.867680012,
0.6884991366,0.8698200071,
0.6873363471,0.8693200067,
0.6872158325,0.869840008,
0.6866346326,0.8705400112,
0.6856462464,0.8720000094,
0.6890539476,0.8694600132,
0.6865186816,0.8708800122,
0.6863651976,0.8699200141,
0.6865688962,0.8694800133,
0.6844372615,0.8730800098,
0.6822424257,0.872960014,
0.6868588126,0.8700000122,
0.6834261698,0.8719000104,
0.6869091657,0.8698000142,
0.6821597457,0.8729800123,
0.6843696395,0.8734200177,
0.684166294,0.8723600096,
0.6857192713,0.8702000117,
0.6835016602,0.8698800135,
0.6860757864,0.8708800104,
0.6852591214,0.8705200094,
0.6821369767,0.8712400115,
0.6823848227,0.8701800123,
0.6839193055,0.8713600087,
0.6858616847,0.8698600104,
0.6878098303,0.8688000101,
0.685755434,0.8711600107,
0.6843911108,0.8691200131,
0.6815786895,0.8714600128,
0.6820234823,0.8710600138,
0.681506581,0.8703000122,
0.6850693259,0.8711400095,
0.6822438481,0.870120008,
0.682851027,0.8717400113,
0.6799835184,0.871100015,
0.6800405234,0.8717200157,
0.6817686966,0.872520012,
0.6853098503,0.8698400152,
0.6833763409,0.8716400135,
0.6801509976,0.8723200089,
0.6818686637,0.8714200109,
0.6820757616,0.8705000135,
0.6801907042,0.8728600115,
0.6802562085,0.8708800131,
0.6802127162,0.8718400145,
0.6837432724,0.8698600113,
0.6772667962,0.8735000142,
0.6739730763,0.8750800106,
0.6767118487,0.8745200148,
0.677191456,0.8747600111,
0.6724964699,0.875040015,
0.6726136053,0.8745400152,
0.6729464945,0.8740800086,
0.6726984036,0.8738200119,
0.6758117345,0.8727000159,
0.6774080658,0.8725600117,
0.6738051546,0.8748800147,
0.6751373687,0.8738000122,
0.6722560886,0.875380013,
0.6714610374,0.8763000119,
0.6749211314,0.8739400133,
0.6750330192,0.8731200102,
0.6765197584,0.8722400165,
0.6739224508,0.8725800094,
0.6785909697,0.8714000121,
0.6750831765,0.8740200126,
0.6736450997,0.874260011,
0.6723229247,0.8754200095,
0.6724700525,0.875460009,
0.6733272323,0.8738800099,
0.6721380609,0.8742400134,
0.6749354604,0.8741600135,
0.6740504521,0.8741400135,
0.6723808739,0.8757400116,
0.6729738837,0.8746200135,
0.6748721293,0.8746400145,
0.6776085943,0.871060006,
0.6765282169,0.8731000134,
0.6713136566,0.875000014,
0.6737840304,0.8742400098,
0.669483723,0.8749400121,
0.672749562,0.8760200122,
0.6739728448,0.8742000166,
0.6731290779,0.875220013,
0.6731149992,0.8750600162,
0.6742549554,0.873820014,
0.6712439004,0.8748000154,
0.672255393,0.8728600112,
0.672977275,0.8733200103,
0.6707000238,0.8759400165,
0.6724255186,0.8749800146,
0.6697771183,0.8758600143,
0.6761183244,0.874000012,
0.6715593702,0.8757200083,
0.6734366465,0.8754000103,
